codepoint_dec,codepoint_hex,char,width
010754,U+2A02,⨂,1.9990
010756,U+2A04,⨄,1.4990
010757,U+2A05,⨅,1.4990
010758,U+2A06,⨆,1.4990
010781,U+2A1D,⨝,1.8000
010783,U+2A1F,⨟,0.7310
010785,U+2A21,⨡,0.8300
010814,U+2A3E,⨾,0.6340
010815,U+2A3F,⨿,1.3500
010852,U+2A64,⩤,1.3880
010853,U+2A65,⩥,1.3880
010885,U+2A85,⪅,1.3970
010886,U+2A86,⪆,1.3970
010914,U+2AA2,⪢,1.7410
010996,U+2AF4,⫴,1.1520
011005,U+2AFD,⫽,0.9330
011007,U+2AFF,⫿,0.9340
011034,U+2B1A,⬚,1.0000
119964,U+1D49C,𝒜,1.4360
119966,U+1D49E,𝒞,0.9460
119967,U+1D49F,𝒟,1.3870
119970,U+1D4A2,𝒢,1.0680
119973,U+1D4A5,𝒥,1.2180
119974,U+1D4A6,𝒦,1.3690
119977,U+1D4A9,𝒩,1.4750
119978,U+1D4AA,𝒪,1.4330
119979,U+1D4AB,𝒫,1.2500
119980,U+1D4AC,𝒬,1.4680
119982,U+1D4AE,𝒮,1.0890
119983,U+1D4AF,𝒯,0.9780
119984,U+1D4B0,𝒰,1.1240
119985,U+1D4B1,𝒱,1.1010
119986,U+1D4B2,𝒲,1.7760
119987,U+1D4B3,𝒳,1.2820
119988,U+1D4B4,𝒴,1.2010
119989,U+1D4B5,𝒵,1.3030
120068,U+1D504,𝔄,1.2890
120069,U+1D505,𝔅,1.5920
120071,U+1D507,𝔇,1.4950
120072,U+1D508,𝔈,1.1910
120073,U+1D509,𝔉,1.1000
120074,U+1D50A,𝔊,1.4120
120077,U+1D50D,𝔍,0.9940
120078,U+1D50E,𝔎,1.2010
120079,U+1D50F,𝔏,1.1980
120080,U+1D510,𝔐,1.8870
120081,U+1D511,𝔑,1.4970
120082,U+1D512,𝔒,1.4900
120083,U+1D513,𝔓,1.4880
120084,U+1D514,𝔔,1.4900
120086,U+1D516,𝔖,1.4900
120087,U+1D517,𝔗,1.2040
120088,U+1D518,𝔘,1.1600
120089,U+1D519,𝔙,1.4950
120090,U+1D51A,𝔚,1.8830
120091,U+1D51B,𝔛,1.2940
120092,U+1D51C,𝔜,1.5010
120094,U+1D51E,𝔞,0.9000
120095,U+1D51F,𝔟,0.9230
120096,U+1D520,𝔠,0.7000
120097,U+1D521,𝔡,0.8960
120098,U+1D522,𝔢,0.7200
120099,U+1D523,𝔣,0.5860
120100,U+1D524,𝔤,0.9050
120101,U+1D525,𝔥,0.9380
120102,U+1D526,𝔦,0.5020
120103,U+1D527,𝔧,0.5040
120104,U+1D528,𝔨,0.7000
120105,U+1D529,𝔩,0.5020
120106,U+1D52A,𝔪,1.3790
120107,U+1D52B,𝔫,0.9460
120108,U+1D52C,𝔬,0.8790
120109,U+1D52D,𝔭,0.9000
120110,U+1D52E,𝔮,0.8800
120111,U+1D52F,𝔯,0.7000
120112,U+1D530,𝔰,0.7960
120113,U+1D531,𝔱,0.6000
120114,U+1D532,𝔲,0.9300
120115,U+1D533,𝔳,0.9190
120116,U+1D534,𝔴,1.3910
120117,U+1D535,𝔵,0.6980
120118,U+1D536,𝔶,0.8960
120119,U+1D537,𝔷,0.7010
120120,U+1D538,𝔸,1.5570
