codepoint_dec,codepoint_hex,char,width,rel_to_space
120068,U+1D504,𝔄,1.0000,1.0000
120069,U+1D505,𝔅,1.0000,1.0000
120071,U+1D507,𝔇,1.0000,1.0000
120072,U+1D508,𝔈,1.0000,1.0000
120073,U+1D509,𝔉,1.0000,1.0000
120074,U+1D50A,𝔊,1.0000,1.0000
120077,U+1D50D,𝔍,1.0000,1.0000
120078,U+1D50E,𝔎,1.0000,1.0000
120079,U+1D50F,𝔏,1.0000,1.0000
120080,U+1D510,𝔐,1.0000,1.0000
120081,U+1D511,𝔑,1.0000,1.0000
120082,U+1D512,𝔒,1.0000,1.0000
120083,U+1D513,𝔓,1.0000,1.0000
120084,U+1D514,𝔔,1.0000,1.0000
120086,U+1D516,𝔖,1.0000,1.0000
120087,U+1D517,𝔗,1.0000,1.0000
120088,U+1D518,𝔘,1.0000,1.0000
120089,U+1D519,𝔙,1.0000,1.0000
120090,U+1D51A,𝔚,1.0000,1.0000
120091,U+1D51B,𝔛,1.0000,1.0000
120092,U+1D51C,𝔜,1.0000,1.0000
120094,U+1D51E,𝔞,1.0000,1.0000
120095,U+1D51F,𝔟,1.0000,1.0000
120096,U+1D520,𝔠,1.0000,1.0000
120097,U+1D521,𝔡,1.0000,1.0000
120098,U+1D522,𝔢,1.0000,1.0000
120099,U+1D523,𝔣,1.0000,1.0000
120100,U+1D524,𝔤,1.0000,1.0000
120101,U+1D525,𝔥,1.0000,1.0000
120102,U+1D526,𝔦,1.0000,1.0000
120103,U+1D527,𝔧,1.0000,1.0000
120104,U+1D528,𝔨,1.0000,1.0000
120105,U+1D529,𝔩,1.0000,1.0000
120106,U+1D52A,𝔪,1.0000,1.0000
120107,U+1D52B,𝔫,1.0000,1.0000
120108,U+1D52C,𝔬,1.0000,1.0000
120109,U+1D52D,𝔭,1.0000,1.0000
120110,U+1D52E,𝔮,1.0000,1.0000
120111,U+1D52F,𝔯,1.0000,1.0000
120112,U+1D530,𝔰,1.0000,1.0000
120113,U+1D531,𝔱,1.0000,1.0000
120114,U+1D532,𝔲,1.0000,1.0000
120115,U+1D533,𝔳,1.0000,1.0000
120116,U+1D534,𝔴,1.0000,1.0000
120117,U+1D535,𝔵,1.0000,1.0000
120118,U+1D536,𝔶,1.0000,1.0000
120119,U+1D537,𝔷,1.0000,1.0000
120120,U+1D538,𝔸,1.0000,1.0000
120121,U+1D539,𝔹,1.0000,1.0000
120123,U+1D53B,𝔻,1.0000,1.0000
120124,U+1D53C,𝔼,1.0000,1.0000
120125,U+1D53D,𝔽,1.0000,1.0000
120126,U+1D53E,𝔾,1.0000,1.0000
120128,U+1D540,𝕀,1.0000,1.0000
120129,U+1D541,𝕁,1.0000,1.0000
120130,U+1D542,𝕂,1.0000,1.0000
120131,U+1D543,𝕃,1.0000,1.0000
120132,U+1D544,𝕄,1.0000,1.0000
120134,U+1D546,𝕆,1.0000,1.0000
120138,U+1D54A,𝕊,1.0000,1.0000
120139,U+1D54B,𝕋,1.0000,1.0000
120140,U+1D54C,𝕌,1.0000,1.0000
120141,U+1D54D,𝕍,1.0000,1.0000
120142,U+1D54E,𝕎,1.0000,1.0000
120143,U+1D54F,𝕏,1.0000,1.0000
120144,U+1D550,𝕐,1.0000,1.0000
120250,U+1D5BA,𝖺,1.0000,1.0000
120251,U+1D5BB,𝖻,1.0000,1.0000
120252,U+1D5BC,𝖼,1.0000,1.0000
120253,U+1D5BD,𝖽,1.0000,1.0000
120254,U+1D5BE,𝖾,1.0000,1.0000
120255,U+1D5BF,𝖿,1.0000,1.0000
120256,U+1D5C0,𝗀,1.0000,1.0000
120257,U+1D5C1,𝗁,1.0000,1.0000
120258,U+1D5C2,𝗂,1.0000,1.0000
120259,U+1D5C3,𝗃,1.0000,1.0000
120260,U+1D5C4,𝗄,1.0000,1.0000
120261,U+1D5C5,𝗅,1.0000,1.0000
120262,U+1D5C6,𝗆,1.0000,1.0000
120263,U+1D5C7,𝗇,1.0000,1.0000
120264,U+1D5C8,𝗈,1.0000,1.0000
120265,U+1D5C9,𝗉,1.0000,1.0000
120266,U+1D5CA,𝗊,1.0000,1.0000
120267,U+1D5CB,𝗋,1.0000,1.0000
120268,U+1D5CC,𝗌,1.0000,1.0000
120269,U+1D5CD,𝗍,1.0000,1.0000
120270,U+1D5CE,𝗎,1.0000,1.0000
120271,U+1D5CF,𝗏,1.0000,1.0000
