code	v18	v20	diff	rel%
10518	1.742	1.742	0.000	0.0
10524	2.676	2.676	0.000	0.0
10625	0.768	0.767	-0.001	-0.1
10626	0.735	0.735	0.000	0.0
10627	0.932	0.933	0.001	0.1
10628	0.932	0.933	0.001	0.1
10631	0.7	0.701	0.001	0.1
10632	0.7	0.701	0.001	0.1
10633	0.582	0.582	0.000	0.0
10634	0.579	0.58	0.001	0.2
10745	0.543	0.543	0.000	0.0
10752	2	2	0.000	0.0
10753	2	2	0.000	0.0
10754	2	2	0.000	0.0
10756	1.5	1.5	0.000	0.0
10757	1.5	1.5	0.000	0.0
10758	1.5	1.5	0.000	0.0
10781	1.8	1.801	0.001	0.1
10783	0.732	0.732	0.000	0.0
10785	0.83	0.83	0.000	0.0
10814	0.634	0.634	0.000	0.0
10815	1.35	1.35	0.000	0.0
10852	1.388	1.388	0.000	0.0
10853	1.388	1.388	0.000	0.0
10885	1.398	1.399	0.001	0.1
10886	1.398	1.399	0.001	0.1
10914	1.741	1.741	0.000	0.0
10996	1.153	1.154	0.001	0.1
11005	0.932	0.933	0.001	0.1
11007	0.934	0.934	0.000	0.0
119964	1.437	1.437	0.000	0.0
119966	0.947	0.947	0.000	0.0
119967	1.388	1.388	0.000	0.0
119970	1.069	1.069	0.000	0.0
119973	1.218	1.219	0.001	0.1
119974	1.37	1.37	0.000	0.0
119977	1.476	1.477	0.001	0.1
119978	1.432	1.433	0.001	0.1
119979	1.251	1.251	0.000	0.0
119980	1.468	1.469	0.001	0.1
119982	1.089	1.09	0.001	0.1
119984	1.125	1.125	0.000	0.0
119985	1.101	1.102	0.001	0.1
119986	1.777	1.778	0.001	0.1
119987	1.282	1.284	0.002	0.2
119988	1.202	1.202	0.000	0.0
119989	1.303	1.304	0.001	0.1
120068	1.29	1.291	0.001	0.1
120069	1.592	1.593	0.001	0.1
120071	1.496	1.496	0.000	0.0
120072	1.192	1.192	0.000	0.0
120073	1.099	1.1	0.001	0.1
120074	1.412	1.413	0.001	0.1
120078	1.202	1.202	0.000	0.0
120079	1.199	1.199	0.000	0.0
120080	1.888	1.888	0.000	0.0
120081	1.497	1.498	0.001	0.1
120082	1.49	1.491	0.001	0.1
120083	1.488	1.489	0.001	0.1
120084	1.49	1.491	0.001	0.1
120086	1.49	1.491	0.001	0.1
120087	1.205	1.205	0.000	0.0
120088	1.16	1.161	0.001	0.1
120089	1.496	1.496	0.000	0.0
120090	1.883	1.883	0.000	0.0
120091	1.294	1.295	0.001	0.1
120092	1.501	1.502	0.001	0.1
120094	0.901	0.901	0.000	0.0
120095	0.924	0.923	-0.001	-0.1
120096	0.7	0.701	0.001	0.1
120097	0.896	0.896	0.000	0.0
120098	0.72	0.721	0.001	0.1
120099	0.586	0.587	0.001	0.2
120100	0.905	0.906	0.001	0.1
120101	0.938	0.938	0.000	0.0
120102	0.503	0.503	0.000	0.0
120103	0.504	0.504	0.000	0.0
120104	0.7	0.701	0.001	0.1
120105	0.503	0.503	0.000	0.0
120106	1.379	1.379	0.000	0.0
120107	0.947	0.947	0.000	0.0
120108	0.879	0.879	0.000	0.0
120109	0.901	0.901	0.000	0.0
120110	0.88	0.881	0.001	0.1
120111	0.7	0.701	0.001	0.1
120112	0.795	0.796	0.001	0.1
